cve_id,cwe_id,published_date,base_score,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,is_exploited,cve_age_days
CVE-2007-1966,CWE-287,2007-04-11 10:19:00.000,9.1,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,NONE,0,7005
CVE-2007-4043,CWE-287,2007-07-27 22:30:00.000,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,6898
CVE-2008-3738,CWE-287,2008-08-27 20:41:00.000,9.1,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,NONE,0,6501
CVE-2009-0130,CWE-287,2009-01-15 17:30:00.640,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,HIGH,NONE,0,6360
CVE-2009-1596,CWE-287,2009-05-11 14:30:00.343,6.5,NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,NONE,0,6244
CVE-2009-2168,CWE-287,2009-06-22 20:30:00.327,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,6202
CVE-2009-2382,CWE-287,2009-07-08 15:30:01.717,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,6186
CVE-2009-2422,CWE-287,2009-07-10 15:30:00.250,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,6184
CVE-2009-3421,CWE-287,2009-09-25 22:30:16.030,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,6107
CVE-2010-4478,CWE-287,2010-12-06 22:30:31.920,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,5670
CVE-2012-0931,CWE-287,2012-01-28 01:55:01.593,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,5252
CVE-2013-0625,CWE-287,2013-01-09 01:55:00.803,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,1,4905
CVE-2013-7137,CWE-287,2014-01-26 01:55:09.767,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,4523
CVE-2014-2005,CWE-287,2014-06-25 11:19:21.713,6.8,PHYSICAL,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,4373
CVE-2015-7755,CWE-287,2015-12-19 14:59:01.453,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,1,3831
CVE-2015-1772,CWE-287,2015-12-21 11:59:00.140,7.3,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,LOW,LOW,0,3829
CVE-2015-6480,CWE-287,2015-12-21 11:59:05.093,8.3,NETWORK,LOW,NONE,NONE,CHANGED,LOW,LOW,LOW,0,3829
CVE-2015-7938,CWE-287,2016-01-09 02:59:11.877,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,3810
CVE-2015-6314,CWE-287,2016-01-15 03:59:05.153,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,3804
CVE-2015-7974,CWE-287,2016-01-26 19:59:00.107,7.7,NETWORK,LOW,LOW,NONE,CHANGED,NONE,HIGH,NONE,0,3793
CVE-2015-7521,CWE-287,2016-01-29 20:59:00.110,8.3,NETWORK,LOW,NONE,NONE,CHANGED,LOW,LOW,LOW,0,3790
CVE-2016-0755,CWE-287,2016-01-29 20:59:05.653,7.3,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,LOW,LOW,0,3790
